Nome,Quantidade de Episódios,Data de lançamento,Nota,Mais informações
Nonsense Bungaku,1.0,2017.0,7.12,https://myanimelist.net/anime/39163/Nonsense_Bungaku
Onegai! Samia Don,39.0,1985.0,7.12,https://myanimelist.net/anime/2805/Onegai_Samia_Don
Onegai☆Teacher,12.0,2002.0,7.12,https://myanimelist.net/anime/195/Onegai☆Teacher
Otaku no Video,2.0,1991.0,7.12,https://myanimelist.net/anime/785/Otaku_no_Video
Puchimas!: Petit iDOLM@STER,64.0,2013.0,7.12,https://myanimelist.net/anime/15649/Puchimas__Petit_iDOLMSTER
Pui Pui Molcar: Driving School,12.0,2022.0,7.12,https://myanimelist.net/anime/51986/Pui_Pui_Molcar__Driving_School
Pygmalio,39.0,1990.0,7.12,https://myanimelist.net/anime/3765/Pygmalio
Shikioriori,3.0,2018.0,7.12,https://myanimelist.net/anime/37396/Shikioriori
Shin Megami Tensei Devil Children: Light & Dark,52.0,2002.0,7.12,https://myanimelist.net/anime/4068/Shin_Megami_Tensei_Devil_Children__Light___Dark
SSSS.Gridman,12.0,2018.0,7.12,https://myanimelist.net/anime/35847/SSSSGridman
Star Wars: Visions,9.0,2021.0,7.12,https://myanimelist.net/anime/49357/Star_Wars__Visions
Takahashi Rumiko Gekijou,13.0,2003.0,7.12,https://myanimelist.net/anime/2486/Takahashi_Rumiko_Gekijou
Tengen Toppa Gurren Lagann: Kirameki★Yoko Box - Pieces of Sweet Stars,1.0,2009.0,7.12,https://myanimelist.net/anime/6548/Tengen_Toppa_Gurren_Lagann__Kirameki★Yoko_Box_-_Pieces_of_Sweet_Stars
Tonari no Yamada-kun,1.0,1999.0,7.12,https://myanimelist.net/anime/415/Tonari_no_Yamada-kun
Uma Musume: Pretty Derby - BNW no Chikai,3.0,2018.0,7.12,https://myanimelist.net/anime/37916/Uma_Musume__Pretty_Derby_-_BNW_no_Chikai
Urara Meirochou,12.0,2017.0,7.12,https://myanimelist.net/anime/32924/Urara_Meirochou
Yinhun x He Wei Dao,3.0,2017.0,7.12,https://myanimelist.net/anime/36553/Yinhun_x_He_Wei_Dao
Yu☆Gi☆Oh! Movie: Chou Yuugou! Toki wo Koeta Kizuna,1.0,2010.0,7.12,https://myanimelist.net/anime/6951/Yu☆Gi☆Oh_Movie__Chou_Yuugou_Toki_wo_Koeta_Kizuna
.hack//Quantum,3.0,2011.0,7.12,https://myanimelist.net/anime/9332/hack__Quantum
30-pun de Wakaru! Kore made no Love Live!,2.0,2015.0,7.12,https://myanimelist.net/anime/30829/30-pun_de_Wakaru_Kore_made_no_Love_Live
Ace wo Nerae! 2,13.0,1988.0,7.12,https://myanimelist.net/anime/314/Ace_wo_Nerae_2
Ahoy!! Warera Houshou Kaizoku-dan☆,1.0,2020.0,7.12,https://myanimelist.net/anime/51528/Ahoy_Warera_Houshou_Kaizoku-dan☆
Ai Yori Aoshi: Enishi,12.0,2003.0,7.12,https://myanimelist.net/anime/394/Ai_Yori_Aoshi__Enishi
Battle Spirits: Brave,50.0,2010.0,7.12,https://myanimelist.net/anime/9346/Battle_Spirits__Brave
Biohazard: Damnation,1.0,2012.0,7.12,https://myanimelist.net/anime/9544/Biohazard__Damnation
Bishounen Tanteidan,12.0,2021.0,7.12,https://myanimelist.net/anime/40752/Bishounen_Tanteidan
Blood Lad: Wagahai wa Neko de wa Nai,1.0,2013.0,7.12,https://myanimelist.net/anime/18441/Blood_Lad__Wagahai_wa_Neko_de_wa_Nai
Chibi Maruko-chan: Watashi no Suki na Uta,1.0,1992.0,7.12,https://myanimelist.net/anime/9348/Chibi_Maruko-chan__Watashi_no_Suki_na_Uta
D.C.if: Da Capo if,2.0,2008.0,7.12,https://myanimelist.net/anime/5216/DCif__Da_Capo_if
Dazzling White Town,1.0,2020.0,7.12,https://myanimelist.net/anime/42783/Dazzling_White_Town
Dokidoki♡Densetsu: Mahoujin Guruguru,38.0,2000.0,7.12,https://myanimelist.net/anime/332/Dokidoki♡Densetsu__Mahoujin_Guruguru
Doraemon Movie 10: Nobita no Nippon Tanjou,1.0,1989.0,7.12,https://myanimelist.net/anime/2666/Doraemon_Movie_10__Nobita_no_Nippon_Tanjou
Gaiking: Legend of Daiku-Maryu,39.0,2005.0,7.12,https://myanimelist.net/anime/1845/Gaiking__Legend_of_Daiku-Maryu
Grander Musashi RV,39.0,1998.0,7.12,https://myanimelist.net/anime/2416/Grander_Musashi_RV
Himouto! Umaru-chan,12.0,2015.0,7.12,https://myanimelist.net/anime/28825/Himouto_Umaru-chan
Jaku-Chara Tomozaki-kun,12.0,2021.0,7.12,https://myanimelist.net/anime/40530/Jaku-Chara_Tomozaki-kun
Junketsu no Maria,12.0,2015.0,7.12,https://myanimelist.net/anime/26441/Junketsu_no_Maria
Kagami no Kojou,1.0,2022.0,7.12,https://myanimelist.net/anime/51116/Kagami_no_Kojou
Kagejitsu!,17.0,2022.0,7.12,https://myanimelist.net/anime/53406/Kagejitsu
Karin,24.0,2005.0,7.12,https://myanimelist.net/anime/469/Karin
Kenkou Zenrakei Suiei-bu Umishou,13.0,2007.0,7.12,https://myanimelist.net/anime/2602/Kenkou_Zenrakei_Suiei-bu_Umishou
Kimi ga Aruji de Shitsuji ga Ore de,13.0,2008.0,7.12,https://myanimelist.net/anime/3229/Kimi_ga_Aruji_de_Shitsuji_ga_Ore_de
Kiniro no Corda: Secondo Passo,2.0,2009.0,7.12,https://myanimelist.net/anime/5717/Kiniro_no_Corda__Secondo_Passo
Ai Yori Aoshi,24.0,2002.0,7.11,https://myanimelist.net/anime/53/Ai_Yori_Aoshi
Amanchu! Advance,12.0,2018.0,7.11,https://myanimelist.net/anime/36800/Amanchu_Advance
Anime Sanjuushi,52.0,1987.0,7.11,https://myanimelist.net/anime/2333/Anime_Sanjuushi
Ao no Exorcist: Kyoto Fujouou-hen OVA,2.0,2017.0,7.11,https://myanimelist.net/anime/34465/Ao_no_Exorcist__Kyoto_Fujouou-hen_OVA
Aoi Hana,11.0,2009.0,7.11,https://myanimelist.net/anime/6164/Aoi_Hana
B'T X Neo,14.0,1997.0,7.11,https://myanimelist.net/anime/1736/BT_X_Neo
Burn the Witch,3.0,2020.0,7.11,https://myanimelist.net/anime/41468/Burn_the_Witch
Crayon Shin-chan Movie 12: Arashi wo Yobu! Yuuhi no Kasukabe Boys,1.0,2004.0,7.11,https://myanimelist.net/anime/8364/Crayon_Shin-chan_Movie_12__Arashi_wo_Yobu_Yuuhi_no_Kasukabe_Boys
Dragon Ball Z Movie 09: Ginga Girigiri!! Bucchigiri no Sugoi Yatsu,1.0,1993.0,7.11,https://myanimelist.net/anime/902/Dragon_Ball_Z_Movie_09__Ginga_Girigiri_Bucchigiri_no_Sugoi_Yatsu
Guilty Crown: Kiseki - Reassortment,1.0,2012.0,7.11,https://myanimelist.net/anime/12419/Guilty_Crown__Kiseki_-_Reassortment
Hakuouki: Hekketsuroku - Kyoto Kaisouroku,1.0,2010.0,7.11,https://myanimelist.net/anime/9723/Hakuouki__Hekketsuroku_-_Kyoto_Kaisouroku
Hatenkou Yuugi,10.0,2008.0,7.11,https://myanimelist.net/anime/3298/Hatenkou_Yuugi
Hayate no Gotoku! OVA,3.0,2014.0,7.11,https://myanimelist.net/anime/23153/Hayate_no_Gotoku_OVA
Hokuto no Ken: Raoh Gaiden Ten no Haoh,13.0,2008.0,7.11,https://myanimelist.net/anime/4549/Hokuto_no_Ken__Raoh_Gaiden_Ten_no_Haoh
Jigoku Sensei Nube OVA,3.0,1998.0,7.11,https://myanimelist.net/anime/2745/Jigoku_Sensei_Nube_OVA
Junkers Come Here,1.0,1995.0,7.11,https://myanimelist.net/anime/1116/Junkers_Come_Here
Kamisama Kazoku,13.0,2006.0,7.11,https://myanimelist.net/anime/990/Kamisama_Kazoku
Kirakira☆Precure A La Mode,49.0,2017.0,7.11,https://myanimelist.net/anime/34290/Kirakira☆Precure_A_La_Mode
Lord El-Melloi II Sei no Jikenbo: Rail Zeppelin Grace Note - Hakamori to Neko to Majutsushi,1.0,2018.0,7.11,https://myanimelist.net/anime/38936/Lord_El-Melloi_II_Sei_no_Jikenbo__Rail_Zeppelin_Grace_Note_-_Hakamori_to_Neko_to_Majutsushi
Lupin III: $1 Money Wars,1.0,2000.0,7.11,https://myanimelist.net/anime/1422/Lupin_III__1_Money_Wars
Mangaka-san to Assistant-san to The Animation,12.0,2014.0,7.11,https://myanimelist.net/anime/21863/Mangaka-san_to_Assistant-san_to_The_Animation
Nanatsu no Taizai Movie 1: Tenkuu no Torawarebito,1.0,2018.0,7.11,https://myanimelist.net/anime/35946/Nanatsu_no_Taizai_Movie_1__Tenkuu_no_Torawarebito
Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!,1.0,2004.0,7.11,https://myanimelist.net/anime/442/Naruto_Movie_1__Dai_Katsugeki_Yuki_Hime_Shinobu_Houjou_Dattebayo
One Piece Movie 02: Nejimaki-jima no Daibouken,1.0,2001.0,7.11,https://myanimelist.net/anime/460/One_Piece_Movie_02__Nejimaki-jima_no_Daibouken
One Piece: Yume no Soccer Ou!,1.0,2002.0,7.11,https://myanimelist.net/anime/2386/One_Piece__Yume_no_Soccer_Ou
Ookiku Furikabutte: Natsu no Scorebook,2.0,2010.0,7.11,https://myanimelist.net/anime/8423/Ookiku_Furikabutte__Natsu_no_Scorebook
Pokemon Advanced Generation,192.0,2002.0,7.11,https://myanimelist.net/anime/1564/Pokemon_Advanced_Generation
Prayer X,1.0,2018.0,7.11,https://myanimelist.net/anime/44086/Prayer_X
Rain Town,1.0,2011.0,7.11,https://myanimelist.net/anime/10448/Rain_Town
Rec: Yurusarezarumono,1.0,2006.0,7.11,https://myanimelist.net/anime/1847/Rec__Yurusarezarumono
Rurouni Kenshin: Meiji Kenkaku Romantan - Shin Kyoto-hen,2.0,2011.0,7.11,https://myanimelist.net/anime/11441/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Shin_Kyoto-hen
Saiki Kusuo no Ψ-nan (ONA),1.0,2013.0,7.11,https://myanimelist.net/anime/19469/Saiki_Kusuo_no_Ψ-nan_ONA
Sayonara Watashi no Cramer Movie: First Touch,1.0,2021.0,7.11,https://myanimelist.net/anime/42798/Sayonara_Watashi_no_Cramer_Movie__First_Touch
Shakugan no Shana-tan Movie,1.0,2007.0,7.11,https://myanimelist.net/anime/3221/Shakugan_no_Shana-tan_Movie
Super Lovers 2,10.0,2017.0,7.11,https://myanimelist.net/anime/33417/Super_Lovers_2
Tenchi Muyou! Manatsu no Eve,1.0,1997.0,7.11,https://myanimelist.net/anime/1101/Tenchi_Muyou_Manatsu_no_Eve
Tennis no Ouji-sama: Another Story II - Ano Toki no Bokura Specials,2.0,2011.0,7.11,https://myanimelist.net/anime/13073/Tennis_no_Ouji-sama__Another_Story_II_-_Ano_Toki_no_Bokura_Specials
Tensei shitara Slime Datta Ken 2nd Season: Kanwa - Veldora Nikki 2,1.0,2021.0,7.11,https://myanimelist.net/anime/49318/Tensei_shitara_Slime_Datta_Ken_2nd_Season__Kanwa_-_Veldora_Nikki_2
Tonari no Kaibutsu-kun: Tonari no Gokudou-kun,1.0,2013.0,7.11,https://myanimelist.net/anime/16866/Tonari_no_Kaibutsu-kun__Tonari_no_Gokudou-kun
Virtua Fighter,35.0,1995.0,7.11,https://myanimelist.net/anime/961/Virtua_Fighter
Wu Geng Ji Zhi San Jie,42.0,2019.0,7.11,https://myanimelist.net/anime/38467/Wu_Geng_Ji_Zhi_San_Jie
Yu☆Gi☆Oh! Duel Monsters: Battle City Special,1.0,2002.0,7.11,https://myanimelist.net/anime/5458/Yu☆Gi☆Oh_Duel_Monsters__Battle_City_Special
"Uchi no Ko no Tame naraba, Ore wa Moshikashitara Maou mo Taoseru kamo Shirenai.",12.0,2019.0,7.1,https://myanimelist.net/anime/39324/Uchi_no_Ko_no_Tame_naraba_Ore_wa_Moshikashitara_Maou_mo_Taoseru_kamo_Shirenai
Vampire Knight Guilty,13.0,2008.0,7.1,https://myanimelist.net/anime/4752/Vampire_Knight_Guilty
Waccha PriMagi!,51.0,2021.0,7.1,https://myanimelist.net/anime/49285/Waccha_PriMagi
Yadamon,170.0,1992.0,7.1,https://myanimelist.net/anime/2806/Yadamon
Yoake Mae yori Ruriiro na: Crescent Love,12.0,2006.0,7.1,https://myanimelist.net/anime/1543/Yoake_Mae_yori_Ruriiro_na__Crescent_Love
Yuragi-sou no Yuuna-san OVA,4.0,2018.0,7.1,https://myanimelist.net/anime/36950/Yuragi-sou_no_Yuuna-san_OVA
A Day Before Us,19.0,2018.0,7.1,https://myanimelist.net/anime/42481/A_Day_Before_Us
Accel World EX,2.0,2012.0,7.1,https://myanimelist.net/anime/13939/Accel_World_EX
Adachi to Shimamura,12.0,2020.0,7.1,https://myanimelist.net/anime/39790/Adachi_to_Shimamura
Alice to Zouroku,12.0,2017.0,7.1,https://myanimelist.net/anime/34350/Alice_to_Zouroku
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.: Menma e no Tegami,1.0,2012.0,7.1,https://myanimelist.net/anime/38963/Ano_Hi_Mita_Hana_no_Namae_wo_Bokutachi_wa_Mada_Shiranai__Menma_e_no_Tegami
Bakumatsu Kikansetsu Irohanihoheto,26.0,2006.0,7.1,https://myanimelist.net/anime/1576/Bakumatsu_Kikansetsu_Irohanihoheto
Bakusou Kyoudai Let's & Go WGP,51.0,1997.0,7.1,https://myanimelist.net/anime/2706/Bakusou_Kyoudai_Lets___Go_WGP
Bishoujo Senshi Sailor Moon Crystal,26.0,2014.0,7.1,https://myanimelist.net/anime/14751/Bishoujo_Senshi_Sailor_Moon_Crystal
Black Blood Brothers,12.0,2006.0,7.1,https://myanimelist.net/anime/1498/Black_Blood_Brothers
Black Bullet,13.0,2014.0,7.1,https://myanimelist.net/anime/20787/Black_Bullet
Black★Rock Shooter (OVA),1.0,2010.0,7.1,https://myanimelist.net/anime/7059/Black★Rock_Shooter_OVA
Digimon Adventure 02 Movies,2.0,2000.0,7.1,https://myanimelist.net/anime/2962/Digimon_Adventure_02_Movies
Digimon Xros Wars: Aku no Death General to Nanatsu no Oukoku,24.0,2011.0,7.1,https://myanimelist.net/anime/10444/Digimon_Xros_Wars__Aku_no_Death_General_to_Nanatsu_no_Oukoku
Doraemon Movie 01: Nobita no Kyouryuu,1.0,1980.0,7.1,https://myanimelist.net/anime/3727/Doraemon_Movie_01__Nobita_no_Kyouryuu
Doraemon Movie 11: Nobita to Animal Planet,1.0,1990.0,7.1,https://myanimelist.net/anime/2677/Doraemon_Movie_11__Nobita_to_Animal_Planet
Dorohedoro: Ma no Omake,6.0,2020.0,7.1,https://myanimelist.net/anime/41053/Dorohedoro__Ma_no_Omake
Final Fantasy VII: On the Way to a Smile - Episode: Denzel,1.0,2009.0,7.1,https://myanimelist.net/anime/6151/Final_Fantasy_VII__On_the_Way_to_a_Smile_-_Episode__Denzel
Galaxy Angel 3 Specials,2.0,2003.0,7.1,https://myanimelist.net/anime/654/Galaxy_Angel_3_Specials
Girls & Panzer: Dai 63-kai Senshadou Zenkoku Koukousei Taikai Recap,1.0,2017.0,7.1,https://myanimelist.net/anime/36783/Girls___Panzer__Dai_63-kai_Senshadou_Zenkoku_Koukousei_Taikai_Recap
Gunjou Sanka,1.0,2021.0,7.1,https://myanimelist.net/anime/49964/Gunjou_Sanka
Haiyore! Nyaruko-san: Yasashii Teki no Shitome-kata,1.0,2012.0,7.1,https://myanimelist.net/anime/18713/Haiyore_Nyaruko-san__Yasashii_Teki_no_Shitome-kata
Hakuouki: Reimeiroku OVA,2.0,2013.0,7.1,https://myanimelist.net/anime/18835/Hakuouki__Reimeiroku_OVA
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze Recaps,3.0,2019.0,7.1,https://myanimelist.net/anime/38972/JoJo_no_Kimyou_na_Bouken_Part_5__Ougon_no_Kaze_Recaps
Juushin Liger,43.0,1989.0,7.1,https://myanimelist.net/anime/4119/Juushin_Liger
Kaginado,12.0,2021.0,7.1,https://myanimelist.net/anime/48775/Kaginado
"Kanojo, Okarishimasu",12.0,2020.0,7.1,https://myanimelist.net/anime/40839/Kanojo_Okarishimasu
Konjiki no Gash Bell!!: Mecha Vulkan no Raishuu,1.0,2005.0,7.1,https://myanimelist.net/anime/911/Konjiki_no_Gash_Bell__Mecha_Vulkan_no_Raishuu
Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,13.0,2003.0,7.1,https://myanimelist.net/anime/279/Kyougoku_Natsuhiko__Kousetsu_Hyaku_Monogatari
Kyoushoku Soukou Guyver (1989),6.0,1989.0,7.1,https://myanimelist.net/anime/6016/Kyoushoku_Soukou_Guyver_1989
Love Hina,24.0,2000.0,7.1,https://myanimelist.net/anime/189/Love_Hina
Luo Xiao Hei Zhan Ji: Zhongsheng Zhi Men,12.0,2021.0,7.1,https://myanimelist.net/anime/48791/Luo_Xiao_Hei_Zhan_Ji__Zhongsheng_Zhi_Men
Majutsushi Orphen,24.0,1998.0,7.1,https://myanimelist.net/anime/1017/Majutsushi_Orphen
Mouretsu Pirates: Abyss of Hyperspace,1.0,2014.0,7.1,https://myanimelist.net/anime/14817/Mouretsu_Pirates__Abyss_of_Hyperspace
Mudai,1.0,2015.0,7.1,https://myanimelist.net/anime/30771/Mudai
Muteki Kanban Musume,12.0,2006.0,7.1,https://myanimelist.net/anime/1738/Muteki_Kanban_Musume
Muumin,65.0,1969.0,7.1,https://myanimelist.net/anime/8234/Muumin
Pokemon Movie 20: Kimi ni Kimeta!,1.0,2017.0,7.1,https://myanimelist.net/anime/34540/Pokemon_Movie_20__Kimi_ni_Kimeta
Ranma ½: Battle ga Ippai 29-nin no Korinai Yatsura,1.0,1995.0,7.1,https://myanimelist.net/anime/10825/Ranma_½__Battle_ga_Ippai_29-nin_no_Korinai_Yatsura
RD Sennou Chousashitsu,26.0,2008.0,7.1,https://myanimelist.net/anime/3363/RD_Sennou_Chousashitsu
Re: Cutey Honey,3.0,2004.0,7.1,https://myanimelist.net/anime/151/Re__Cutey_Honey
Robin Hood no Daibouken,52.0,1990.0,7.1,https://myanimelist.net/anime/2543/Robin_Hood_no_Daibouken
Sansha Sanyou,12.0,2016.0,7.1,https://myanimelist.net/anime/31564/Sansha_Sanyou
Sayonara Gokko,1.0,2019.0,7.1,https://myanimelist.net/anime/39257/Sayonara_Gokko
Shin Megami Tensei Devil Children,50.0,2000.0,7.1,https://myanimelist.net/anime/4067/Shin_Megami_Tensei_Devil_Children
Show by Rock!! Stars!!,12.0,2021.0,7.1,https://myanimelist.net/anime/41520/Show_by_Rock_Stars
Tabun,1.0,2020.0,7.1,https://myanimelist.net/anime/50039/Tabun
Taiyou no Yuusha Fighbird,48.0,1991.0,7.1,https://myanimelist.net/anime/4532/Taiyou_no_Yuusha_Fighbird
Toriko Movie: Bishokushin no Special Menu,1.0,2013.0,7.1,https://myanimelist.net/anime/17699/Toriko_Movie__Bishokushin_no_Special_Menu
Kochira Katsushikaku Kameari Kouenmae Hashutsujo The Movie,1.0,1999.0,7.09,https://myanimelist.net/anime/2901/Kochira_Katsushikaku_Kameari_Kouenmae_Hashutsujo_The_Movie
Mahoromatic Summer Special,1.0,2003.0,7.09,https://myanimelist.net/anime/631/Mahoromatic_Summer_Special
Mahou no Princess Minky Momo,63.0,1982.0,7.09,https://myanimelist.net/anime/518/Mahou_no_Princess_Minky_Momo
Mazinkaiser: Shitou! Ankoku Dai Shogun,1.0,2003.0,7.09,https://myanimelist.net/anime/2734/Mazinkaiser__Shitou_Ankoku_Dai_Shogun
Mutafukaz,1.0,2018.0,7.09,https://myanimelist.net/anime/38292/Mutafukaz
Muv-Luv Alternative: Total Eclipse,24.0,2012.0,7.09,https://myanimelist.net/anime/11021/Muv-Luv_Alternative__Total_Eclipse
Negima!? Natsu Special!?,1.0,2006.0,7.09,https://myanimelist.net/anime/1732/Negima_Natsu_Special
Nintama Rantarou,,1993.0,7.09,https://myanimelist.net/anime/1199/Nintama_Rantarou
Nobunaga no Shinobi,26.0,2016.0,7.09,https://myanimelist.net/anime/32829/Nobunaga_no_Shinobi
Oi! Ryouma,39.0,1992.0,7.09,https://myanimelist.net/anime/8415/Oi_Ryouma
One Piece Movie 01,1.0,2000.0,7.09,https://myanimelist.net/anime/459/One_Piece_Movie_01
Readymade,1.0,2020.0,7.09,https://myanimelist.net/anime/52963/Readymade
Saraba Uchuu Senkan Yamato: Ai no Senshi-tachi,1.0,1978.0,7.09,https://myanimelist.net/anime/3067/Saraba_Uchuu_Senkan_Yamato__Ai_no_Senshi-tachi
Sora wo Miageru Shoujo no Hitomi ni Utsuru Sekai,9.0,2009.0,7.09,https://myanimelist.net/anime/5702/Sora_wo_Miageru_Shoujo_no_Hitomi_ni_Utsuru_Sekai
Soukou Kihei Votoms: The Last Red Shoulder,1.0,1985.0,7.09,https://myanimelist.net/anime/2583/Soukou_Kihei_Votoms__The_Last_Red_Shoulder
Sousei no Aquarion,26.0,2005.0,7.09,https://myanimelist.net/anime/478/Sousei_no_Aquarion
Tengen Toppa Gurren Lagann: Parallel Works,8.0,2008.0,7.09,https://myanimelist.net/anime/4705/Tengen_Toppa_Gurren_Lagann__Parallel_Works
Tenjoubito to Akutobito Saigo no Tatakai,1.0,2009.0,7.09,https://myanimelist.net/anime/6169/Tenjoubito_to_Akutobito_Saigo_no_Tatakai
Tennis no Ouji-sama: Another Story - Kako to Mirai no Message Specials,2.0,2009.0,7.09,https://myanimelist.net/anime/6999/Tennis_no_Ouji-sama__Another_Story_-_Kako_to_Mirai_no_Message_Specials
Tonari no Kyuuketsuki-san,12.0,2018.0,7.09,https://myanimelist.net/anime/37579/Tonari_no_Kyuuketsuki-san
Uchuu Densetsu Ulysses 31,26.0,1981.0,7.09,https://myanimelist.net/anime/2331/Uchuu_Densetsu_Ulysses_31
Watashi wa Saikyou,1.0,2022.0,7.09,https://myanimelist.net/anime/52871/Watashi_wa_Saikyou
Yes ka No ka Hanbun ka,1.0,2020.0,7.09,https://myanimelist.net/anime/40646/Yes_ka_No_ka_Hanbun_ka
Zettai Muteki Raijin-Oh,51.0,1991.0,7.09,https://myanimelist.net/anime/1897/Zettai_Muteki_Raijin-Oh
A-Channel+smile,2.0,2012.0,7.09,https://myanimelist.net/anime/11339/A-Channel_smile
Ace wo Nerae!,26.0,1973.0,7.09,https://myanimelist.net/anime/311/Ace_wo_Nerae
Anime Himitsu no Hanazono,39.0,1991.0,7.09,https://myanimelist.net/anime/2810/Anime_Himitsu_no_Hanazono
Arifureta Shokugyou de Sekai Saikyou: Maboroshi no Bouken to Kiseki no Kaigou,1.0,2022.0,7.09,https://myanimelist.net/anime/51473/Arifureta_Shokugyou_de_Sekai_Saikyou__Maboroshi_no_Bouken_to_Kiseki_no_Kaigou
BanG Dream!: Asonjatta!,1.0,2017.0,7.09,https://myanimelist.net/anime/34870/BanG_Dream__Asonjatta
Black Cat (TV): Toozakaru Neko,1.0,2006.0,7.09,https://myanimelist.net/anime/2589/Black_Cat_TV__Toozakaru_Neko
Boku no Chikyuu wo Mamotte,6.0,1993.0,7.09,https://myanimelist.net/anime/526/Boku_no_Chikyuu_wo_Mamotte
Bubblegum Crisis Tokyo 2040,26.0,1998.0,7.09,https://myanimelist.net/anime/568/Bubblegum_Crisis_Tokyo_2040
Chibi Maruko-chan Movie,1.0,1990.0,7.09,https://myanimelist.net/anime/3203/Chibi_Maruko-chan_Movie
Chou Mashin Eiyuuden Wataru,51.0,1997.0,7.09,https://myanimelist.net/anime/3432/Chou_Mashin_Eiyuuden_Wataru
Druaga no Tou: The Aegis of Uruk - Jil no Bouken,1.0,2008.0,7.09,https://myanimelist.net/anime/4798/Druaga_no_Tou__The_Aegis_of_Uruk_-_Jil_no_Bouken
Gosick: Utsukushiki Kaibutsu wa Konton no Sen wo Shimiru,1.0,2011.0,7.09,https://myanimelist.net/anime/10504/Gosick__Utsukushiki_Kaibutsu_wa_Konton_no_Sen_wo_Shimiru
Hanyou no Yashahime: Sengoku Otogizoushi - Ni no Shou,24.0,2021.0,7.09,https://myanimelist.net/anime/48505/Hanyou_no_Yashahime__Sengoku_Otogizoushi_-_Ni_no_Shou
Happy Birthday: Inochi Kagayaku Toki,1.0,1999.0,7.09,https://myanimelist.net/anime/9931/Happy_Birthday__Inochi_Kagayaku_Toki
Hidamari no Ki,25.0,2000.0,7.09,https://myanimelist.net/anime/2694/Hidamari_no_Ki
Hokuto no Ken: Yuria-den,1.0,2007.0,7.09,https://myanimelist.net/anime/3027/Hokuto_no_Ken__Yuria-den
Karneval (TV),13.0,2013.0,7.09,https://myanimelist.net/anime/16035/Karneval_TV
Kidou Senshi Gundam: Dai 08 MS Shoutai - Sanjigen to no Tatakai,1.0,2013.0,7.09,https://myanimelist.net/anime/17717/Kidou_Senshi_Gundam__Dai_08_MS_Shoutai_-_Sanjigen_to_no_Tatakai
Kidou Senshi Z Gundam I: Hoshi wo Tsugu Mono,1.0,2005.0,7.09,https://myanimelist.net/anime/1967/Kidou_Senshi_Z_Gundam_I__Hoshi_wo_Tsugu_Mono
.hack//G.U. Trilogy,1.0,2007.0,7.08,https://myanimelist.net/anime/3269/hack__GU_Trilogy
Another World,3.0,2019.0,7.08,https://myanimelist.net/anime/40295/Another_World
Aquarion Evol,26.0,2012.0,7.08,https://myanimelist.net/anime/10447/Aquarion_Evol
Bokura no Live Kimi to no Life,1.0,2010.0,7.08,https://myanimelist.net/anime/9907/Bokura_no_Live_Kimi_to_no_Life
Boogiepop wa Warawanai (2019),18.0,2019.0,7.08,https://myanimelist.net/anime/37451/Boogiepop_wa_Warawanai_2019
Chicchana Yukitsukai Sugar,24.0,2001.0,7.08,https://myanimelist.net/anime/831/Chicchana_Yukitsukai_Sugar
Chirin no Suzu,1.0,1978.0,7.08,https://myanimelist.net/anime/2199/Chirin_no_Suzu
Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu Picture Drama,1.0,2013.0,7.08,https://myanimelist.net/anime/23359/Code_Geass__Boukoku_no_Akito_2_-_Hikisakareshi_Yokuryuu_Picture_Drama
Crayon Shin-chan Movie 21: Bakauma! B-Kyuu Gourmet Survival Battle!!,1.0,2013.0,7.08,https://myanimelist.net/anime/17113/Crayon_Shin-chan_Movie_21__Bakauma_B-Kyuu_Gourmet_Survival_Battle
Crayon Shin-chan Movie 24: Bakusui! Yumemi World Dai Totsugeki,1.0,2016.0,7.08,https://myanimelist.net/anime/31978/Crayon_Shin-chan_Movie_24__Bakusui_Yumemi_World_Dai_Totsugeki
Dirty Pair OVA,10.0,1987.0,7.08,https://myanimelist.net/anime/4200/Dirty_Pair_OVA
Doraemon Movie 14: Nobita to Buriki no Labyrinth,1.0,1993.0,7.08,https://myanimelist.net/anime/2659/Doraemon_Movie_14__Nobita_to_Buriki_no_Labyrinth
Dual! Parallel Lun-Lun Monogatari,13.0,1999.0,7.08,https://myanimelist.net/anime/992/Dual_Parallel_Lun-Lun_Monogatari
Futari wa Precure: Max Heart Movie 2 - Yukizora no Tomodachi,1.0,2005.0,7.08,https://myanimelist.net/anime/1931/Futari_wa_Precure__Max_Heart_Movie_2_-_Yukizora_no_Tomodachi
Ginga Tetsudou Monogatari,26.0,2003.0,7.08,https://myanimelist.net/anime/1490/Ginga_Tetsudou_Monogatari
Happiness Charge Precure! Movie: Ningyou no Kuni no Ballerina,1.0,2014.0,7.08,https://myanimelist.net/anime/23083/Happiness_Charge_Precure_Movie__Ningyou_no_Kuni_no_Ballerina
Higepiyo,39.0,2009.0,7.08,https://myanimelist.net/anime/5983/Higepiyo
Highschool of the Dead,12.0,2010.0,7.08,https://myanimelist.net/anime/8074/Highschool_of_the_Dead
