Nome,Quantidade de Episódios,Data de lançamento,Nota,Mais informações
Ashita no Joe 2,47.0,1980.0,8.71,https://myanimelist.net/anime/2921/Ashita_no_Joe_2
Code Geass: Hangyaku no Lelouch,25.0,2006.0,8.7,https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch
Mushishi Zoku Shou,10.0,2014.0,8.7,https://myanimelist.net/anime/21939/Mushishi_Zoku_Shou
Odd Taxi,13.0,2021.0,8.7,https://myanimelist.net/anime/46102/Odd_Taxi
Fate/stay night Movie: Heaven's Feel - III. Spring Song,1.0,2020.0,8.69,https://myanimelist.net/anime/33050/Fate_stay_night_Movie__Heavens_Feel_-_III_Spring_Song
Great Teacher Onizuka,43.0,1999.0,8.69,https://myanimelist.net/anime/245/Great_Teacher_Onizuka
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,14.0,2022.0,8.68,https://myanimelist.net/anime/53273/JoJo_no_Kimyou_na_Bouken_Part_6__Stone_Ocean_Part_3
Made in Abyss: Retsujitsu no Ougonkyou,12.0,2022.0,8.68,https://myanimelist.net/anime/41084/Made_in_Abyss__Retsujitsu_no_Ougonkyou
One Piece,,1999.0,8.68,https://myanimelist.net/anime/21/One_Piece
Mononoke Hime,1.0,1997.0,8.67,https://myanimelist.net/anime/164/Mononoke_Hime
Violet Evergarden,13.0,2018.0,8.67,https://myanimelist.net/anime/33352/Violet_Evergarden
Made in Abyss,13.0,2017.0,8.66,https://myanimelist.net/anime/34599/Made_in_Abyss
Mushishi,26.0,2005.0,8.66,https://myanimelist.net/anime/457/Mushishi
Spy x Family,12.0,2022.0,8.66,https://myanimelist.net/anime/50265/Spy_x_Family
Hajime no Ippo: New Challenger,26.0,2009.0,8.66,https://myanimelist.net/anime/5258/Hajime_no_Ippo__New_Challenger
Howl no Ugoku Shiro,1.0,2004.0,8.66,https://myanimelist.net/anime/431/Howl_no_Ugoku_Shiro
Jujutsu Kaisen,24.0,2020.0,8.65,https://myanimelist.net/anime/40748/Jujutsu_Kaisen
Natsume Yuujinchou Shi,13.0,2012.0,8.65,https://myanimelist.net/anime/11665/Natsume_Yuujinchou_Shi
Shigatsu wa Kimi no Uso,22.0,2014.0,8.65,https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso
Bungou Stray Dogs 4th Season,13.0,2023.0,8.64,https://myanimelist.net/anime/50330/Bungou_Stray_Dogs_4th_Season
Haikyuu!! Second Season,25.0,2015.0,8.64,https://myanimelist.net/anime/28891/Haikyuu_Second_Season
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,12.0,2020.0,8.64,https://myanimelist.net/anime/40591/Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen
Chainsaw Man,12.0,2022.0,8.63,https://myanimelist.net/anime/44511/Chainsaw_Man
Kimetsu no Yaiba Movie: Mugen Ressha-hen,1.0,2020.0,8.63,https://myanimelist.net/anime/40456/Kimetsu_no_Yaiba_Movie__Mugen_Ressha-hen
